,0
log_expected_signal,0.20335663202025514
expected_salary_signal,0.20267921443956374
signal_x_market,0.14438352135217938
geo_x_tier,0.11491403510121485
geo_multiplier,0.06837726702791685
is_us,0.04573781434963136
exp_x_geo,0.04283396065601902
company_region_North America,0.029831564508403085
employee_region_North America,0.01940991225770747
company_region_Asia_Em,0.014382818733108161
base_salary_index,0.010895509455379237
employee_region_Asia_Em,0.010041618403805986
city_tier_Tier1_Metro,0.008951417517844392
company_region_Europe_East,0.008022284856281491
exp_x_company,0.006329171116920864
company_region_Europe_West,0.005977660557625272
company_multiplier,0.00552888142692523
city_tier_Tier2_City,0.005165794693375381
exp_x_edu,0.004956759754844594
employee_region_Europe_East,0.004547147006898068
employee_region_Europe_West,0.00402840131077031
company_region_LatAm,0.0038012456912876044
skills_multiplier,0.003465679989505748
years_of_experience,0.003142452360690932
experience_multiplier,0.0028424469519648804
city_tier_Tier3_Other,0.0024609860618050395
edu_multiplier,0.0018843364165522642
remote_fraction,0.0015429310829939383
employee_region_LatAm,0.0015188868356507319
company_region_Europe_South,0.0014639434080500995
remote_multiplier,0.0012900120768495268
market_cycle,0.0012229628142779868
years_since_2020,0.0011079717219768137
company_size_S,0.0010874936604186602
company_tier_Startup,0.0010314500681151805
employee_region_Europe_South,0.0008554456062051653
company_size_M,0.0007200203931446256
job_family_Manager,0.0006937150523161892
company_tier_Mid-tier,0.0006526992099841526
industry_multiplier,0.000651293679259685
seniority_x_exp,0.000615080461992061
company_region_Asia_Dev,0.0005542633537636494
employee_region_Asia_Dev,0.0005385234233973568
job_family_Data Scientist,0.0005235347052852098
job_family_ML Engineer,0.0005180315516212349
education_level_Master,0.0004699125252597369
job_family_Data Engineer,0.000468735203697278
experience_level_EX,0.0004360080116290356
remote_type_hybrid,0.00039343568835231805
industry_Tech,0.00038395676310293026
remote_type_onsite,0.0003807221744215841
company_tier_Enterprise,0.00035789340918233794
education_level_PhD,0.0003563332874495843
remote_type_remote,0.00031291406568032323
experience_level_SE,0.0003070994777975001
seniority_flag,0.0003035886660063744
industry_Research,0.0002961239052623939
experience_level_MI,0.00029500394822785307
job_family_Architect,0.00022002927827313018
job_family_Other,0.00014749654328168876
industry_Finance,0.00014349024912661373
education_level_MBA,0.000123472306736155
industry_Retail,6.699137273464685e-05
is_2026,0.0
